for j in np.arange(0.01, 0.5, 0.05):
    for k in range(2, 9):
========== Sorted Scores ==========
Cutoff Frequency: 0.010599999999999997, Filter Order: 2, Score: 0.042756157084185537
Cutoff Frequency: 0.010699999999999996, Filter Order: 2, Score: 0.041286067573380866
Cutoff Frequency: 0.010799999999999995, Filter Order: 2, Score: 0.03983867522985622
Cutoff Frequency: 0.010899999999999995, Filter Order: 2, Score: 0.038417213539958875
Cutoff Frequency: 0.010999999999999994, Filter Order: 2, Score: 0.03702771706689439
Cutoff Frequency: 0.011099999999999994, Filter Order: 2, Score: 0.03562626105771975
Cutoff Frequency: 0.011199999999999993, Filter Order: 2, Score: 0.03430307160412928
Cutoff Frequency: 0.011299999999999992, Filter Order: 2, Score: 0.03306102543974259
Cutoff Frequency: 0.011399999999999992, Filter Order: 2, Score: 0.031902750111322806
Cutoff Frequency: 0.011499999999999991, Filter Order: 2, Score: 0.030830579278623024
Cutoff Frequency: 0.01489999999999997, Filter Order: 2, Score: 0.030283796698685302
Cutoff Frequency: 0.014799999999999971, Filter Order: 2, Score: 0.029970710470392257
Cutoff Frequency: 0.01159999999999999, Filter Order: 2, Score: 0.029846452458711103
Cutoff Frequency: 0.014699999999999972, Filter Order: 2, Score: 0.029653170361002117
Cutoff Frequency: 0.014599999999999972, Filter Order: 2, Score: 0.02933162116743222
Cutoff Frequency: 0.014499999999999973, Filter Order: 2, Score: 0.02900690212772105
Cutoff Frequency: 0.01169999999999999, Filter Order: 2, Score: 0.028951829670024062
Cutoff Frequency: 0.014399999999999974, Filter Order: 2, Score: 0.02867954193993029
Cutoff Frequency: 0.014299999999999974, Filter Order: 2, Score: 0.028350798632164907
Cutoff Frequency: 0.01179999999999999, Filter Order: 2, Score: 0.02814767850973838
Cutoff Frequency: 0.014199999999999975, Filter Order: 2, Score: 0.02802161279751968
Cutoff Frequency: 0.014099999999999975, Filter Order: 2, Score: 0.0276936475953026
Cutoff Frequency: 0.011899999999999989, Filter Order: 2, Score: 0.027432271074350284
Cutoff Frequency: 0.013999999999999976, Filter Order: 2, Score: 0.027368334667815682
Cutoff Frequency: 0.013899999999999977, Filter Order: 2, Score: 0.027047861601331713
Cutoff Frequency: 0.011999999999999988, Filter Order: 2, Score: 0.026806208834244272
Cutoff Frequency: 0.013799999999999977, Filter Order: 2, Score: 0.026734294555931636
Cutoff Frequency: 0.013699999999999978, Filter Order: 2, Score: 0.02643029836799914
Cutoff Frequency: 0.012099999999999988, Filter Order: 2, Score: 0.02626904090015659
Cutoff Frequency: 0.013599999999999978, Filter Order: 2, Score: 0.02613881316621182
Cutoff Frequency: 0.013499999999999979, Filter Order: 2, Score: 0.025863039838388467
Cutoff Frequency: 0.012199999999999987, Filter Order: 2, Score: 0.02581863311076761
Cutoff Frequency: 0.01339999999999998, Filter Order: 2, Score: 0.02560679112404614
Cutoff Frequency: 0.012299999999999986, Filter Order: 2, Score: 0.025452105369570262
Cutoff Frequency: 0.01329999999999998, Filter Order: 2, Score: 0.02537404473521508
Cutoff Frequency: 0.01319999999999998, Filter Order: 2, Score: 0.02516921835270647
Cutoff Frequency: 0.012399999999999986, Filter Order: 2, Score: 0.025165834859879548
Cutoff Frequency: 0.013099999999999981, Filter Order: 2, Score: 0.02499722799000037
Cutoff Frequency: 0.012499999999999985, Filter Order: 2, Score: 0.024955581939482503
Cutoff Frequency: 0.012999999999999982, Filter Order: 2, Score: 0.02486314340320629
Cutoff Frequency: 0.012599999999999984, Filter Order: 2, Score: 0.02481653619439445
Cutoff Frequency: 0.012899999999999983, Filter Order: 2, Score: 0.02477235459430453
Cutoff Frequency: 0.012699999999999984, Filter Order: 2, Score: 0.0247433659607676
Cutoff Frequency: 0.012799999999999983, Filter Order: 2, Score: 0.024730517381640945
